"","X","cuisine","phone","name.x","zipcode","grade","score","name.y","rating","price","url","cuisine.type"
"5",5,56,2125172776,"AFGHAN KEBAB HOUSE",10021,"A",13,"Afghan Kebab House",4,2,"http://www.yelp.com/biz/afghan-kebab-house-new-york-3","Middle Eastern"
"6",6,56,7184348088,"BAHAR MASALA",11230,"A",10,"Bahar Shish Kebab House",4,NA,"http://www.yelp.com/biz/bahar-shish-kebab-house-brooklyn","Middle Eastern"
"7",7,56,7187215020,"NEW BALKH SHISH KABAB",11105,"A",5,"Balkh Shish Kabab House",4,2,"http://www.yelp.com/biz/balkh-shish-kabab-house-astoria","Middle Eastern"
"8",8,56,7184348088,"BAHAR MASALA",11230,"A",10,"Bahar",3.5,2,"http://www.yelp.com/biz/bahar-brooklyn","Middle Eastern"
"9",9,56,2124813232,"BAMIYAN",10016,"A",11,"Bamiyan",3.5,2,"http://www.yelp.com/biz/bamiyan-new-york","Middle Eastern"
"10",10,56,2125172776,"AFGHAN KEBAB HOUSE",10021,"A",13,"Afghan Kebab House",4,2,"http://www.yelp.com/biz/afghan-kebab-house-new-york-3","Middle Eastern"
"11",11,56,2122622323,"ARIANA KEBAB HOUSE",10019,"A",2,"Ariana Afghan Kebab Restaurant",4,2,"http://www.yelp.com/biz/ariana-afghan-kebab-restaurant-new-york","Middle Eastern"
"12",12,56,7187625572,"BAKHTER AFGHAN HALAL KABAB",11365,"A",13,"Bakhter Halal Kababs",4,1,"http://www.yelp.com/biz/bakhter-halal-kababs-fresh-meadows","Middle Eastern"
"13",13,56,7187934535,"BAKHTAR KABAB",11367,"A",5,"Bakhtar Halal Kabab",4,1,"http://www.yelp.com/biz/bakhtar-halal-kabab-flushing","Middle Eastern"
"14",14,56,7185393180,"CHOOPAN KABAB RESTAURANT",11355,"B",15,"Choopan Kabab House",2.5,2,"http://www.yelp.com/biz/choopan-kabab-house-flushing","Middle Eastern"
"15",15,56,2124730989,"KHYBER PASS",10003,"B",17,"Khyber Pass Restaurant",3.5,2,"http://www.yelp.com/biz/khyber-pass-restaurant-new-york","Middle Eastern"
"16",16,56,7182052233,"JACKSON HEIGHTS HALAL GYRO KING",11372,"B",14,"Halal Gyro King",3.5,NA,"http://www.yelp.com/biz/halal-gyro-king-new-york","Middle Eastern"
"17",17,56,7184348088,"BAHAR MASALA",11230,"A",10,"Bahar Masala",3,NA,"http://www.yelp.com/biz/bahar-masala-brooklyn","Middle Eastern"
"18",18,56,7184210505,"PAMIR VILLAGE",11230,"C",9,"Village Gyro & Grill",4,NA,"http://www.yelp.com/biz/village-gyro-and-grill-brooklyn","Middle Eastern"
"19",19,56,2122622323,"ARIANA KEBAB HOUSE",10019,"A",2,"Ariana Afghan Kebab Restaurant",4,2,"http://www.yelp.com/biz/ariana-afghan-kebab-restaurant-new-york","Middle Eastern"
"20",20,56,2124813232,"BAMIYAN",10016,"A",11,"Bamiyan",3.5,2,"http://www.yelp.com/biz/bamiyan-new-york","Middle Eastern"
"21",21,2,2126908052,"AFRICAN AMERICAN BEST FOOD",10037,"A",9,"African American Best Food Inc",4,NA,"http://www.yelp.com/biz/african-american-best-food-inc-new-york","African"
"22",22,2,2128644700,"LE  BAOBAB RESTAURANT",10026,NA,26,"Le Baobab Restaurants",3.5,2,"http://www.yelp.com/biz/le-baobab-restaurants-new-york","African"
"23",23,2,3477630619,"BUKA",11238,"C",43,"Buka New York",3.5,2,"http://www.yelp.com/biz/buka-new-york-brooklyn","African"
